Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,Age Group,Latitude,Longitude
Yemen,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",17.76241934056,10.62460921168,26.95651416062,50-69,15.552727,48.516388
Afghanistan,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",47.63697459425,9.58149438633,103.67895562701,50-69,33.93911,67.709953
Afghanistan,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",119.34247532414,23.59739437904,261.30652587716,50-69,33.93911,67.709953
Algeria,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",55.57063677335,12.17517957393,124.18807854296,50-69,28.033886,1.659626
Algeria,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",55.12110805163,11.63886183804,123.93066109133,50-69,28.033886,1.659626
Bahrain,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",85.77196382827,18.36301771482,196.82107640818,50-69,26.0667,50.5577
Bahrain,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",77.99845800922999,15.96443238696,190.0895908708,50-69,26.0667,50.5577
Egypt,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",84.23867782935001,20.447671549760003,191.35185551725,50-69,26.820553,30.802498
Egypt,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",68.66898294584,15.83423010016,157.377914997,50-69,26.820553,30.802498
Iran (Islamic Republic of),2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",60.330531710870005,29.67004521973,106.49165952297,50-69,32.4279,53.688
Iran (Islamic Republic of),2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",52.85442711887,26.430137183970004,94.78356067747,50-69,32.4279,53.688
Iraq,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",59.09115055337001,11.76418139303,123.09114896674,50-69,33.223191,43.679291
Iraq,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",56.1053819821,13.40996888347,119.94484804424,50-69,33.223191,43.679291
Jordan,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",47.70022063422,11.37996615806,107.71292102894,50-69,30.5852,36.2384
Jordan,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",45.6587482457,10.87437156322,102.62365867249,50-69,30.5852,36.2384
Kuwait,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",62.6234482526,11.63598486357,148.31368708195,50-69,29.3759,47.9774
Kuwait,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",58.530219539490005,10.85670026063,141.49336243874,50-69,29.3759,47.9774
Lebanon,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",55.83355333669,11.87609898559,127.99105561014,50-69,33.8547,35.8623
Lebanon,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",50.0846617256,10.47596182646,115.6831691615,50-69,33.8547,35.8623
Libya,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",56.79801119074,11.86115896158,116.56076153699,50-69,26.3351,17.2283
Libya,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",52.05879486625,11.23959192709,114.90991928409,50-69,26.3351,17.2283
Morocco,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",84.36838558115001,16.399714621690002,190.50592218605,50-69,31.7917,-7.0926
Morocco,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",52.76082331733001,10.36719551484,119.0129774512,50-69,31.7917,-7.0926
Oman,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",62.08665441052,15.14834806017,138.00648726233,50-69,21.4735,55.9754
Oman,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",57.67096397202,12.65204530863,127.33004487404,50-69,21.4735,55.9754
Palestine,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",57.2604702606,13.1442287,132.0313138997,50-69,31.9474,35.2272
Palestine,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",52.48270306989,11.46968415247,118.9843926125,50-69,31.9474,35.2272
Qatar,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",62.35915213033,15.83132484994,150.07475056854,50-69,25.3548,51.1839
Qatar,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",75.96994604533,18.6918071118,178.65167238197,50-69,25.3548,51.1839
Saudi Arabia,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",124.8852542597,26.43885616712,267.81286283893,50-69,23.8859,45.0792
Saudi Arabia,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",127.55321048116,26.90443086923,277.85296114855,50-69,23.8859,45.0792
Sudan,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",55.14995831292,13.43316192385,111.19224587391,50-69,12.8628,30.2176
Sudan,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",49.91119036329,10.50689158288,104.43335678168,50-69,12.8628,30.2176
Syrian Arab Republic,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",40.722417342,8.8039970574,94.16162676294,50-69,34.802075,38.996815
Syrian Arab Republic,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",39.55183700506,8.42671744748,88.52805314215,50-69,34.802075,38.996815
Tunisia,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",48.56867665616,10.39738089267,114.19126945219,50-69,33.8869,9.5375
Tunisia,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",47.13741369601,9.78737225085,108.81793446663,50-69,33.8869,9.5375
Türkiye,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",92.5118156973,23.49192192977,198.52227774767,50-69,38.9637,35.2433
Türkiye,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",74.78606699803,18.49579627012,162.21654711264,50-69,38.9637,35.2433
United Arab Emirates,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",122.05997959794,32.08050837177,273.34436114664,50-69,23.4241,53.8478
United Arab Emirates,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",96.00796575625,26.45001956111,207.9183612197,50-69,23.4241,53.8478
Yemen,2021.0,50-69 years,Male,Idiopathic epilepsy,"YLDs per 100,000",49.95346306217,6.93370411702,109.40768885627,50-69,15.552727,48.516388
Yemen,2021.0,50-69 years,Female,Idiopathic epilepsy,"YLDs per 100,000",44.44739000424,6.1909075379,97.11895860394,50-69,15.552727,48.516388
Afghanistan,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",16.14429009245,9.78203485948,24.14513653337,50-69,33.93911,67.709953
Afghanistan,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",30.90425782943,18.68226190797,46.37138206258,50-69,33.93911,67.709953
Algeria,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",18.7581712936,12.26312234925,26.95952072355,50-69,28.033886,1.659626
Algeria,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",36.61398618692,24.22415509482,53.49852367982,50-69,28.033886,1.659626
Bahrain,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",14.53177554948,8.56588593504,21.67069150241,50-69,26.0667,50.5577
Bahrain,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",30.89610153979,19.25968606502,45.46492239477,50-69,26.0667,50.5577
Egypt,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",11.88954787852,7.13574315274,18.2450114983,50-69,26.820553,30.802498
Egypt,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",27.09789092626,16.30006929954,41.32325832355,50-69,26.820553,30.802498
Iran (Islamic Republic of),2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",22.33670715073,15.38253518355,30.06437988476,50-69,32.4279,53.688
Iran (Islamic Republic of),2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",41.59140948106,29.25876151926,54.84967999996,50-69,32.4279,53.688
Iraq,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",17.191988357779998,11.00326936795,24.80617146426,50-69,33.223191,43.679291
Iraq,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",27.59336884611,16.62576348276,38.22538732635,50-69,33.223191,43.679291
Jordan,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",21.03201501775,13.26486132447,30.768990161860003,50-69,30.5852,36.2384
Jordan,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",39.36425853375,23.6829549334,58.21305373785,50-69,30.5852,36.2384
Kuwait,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",22.79928111809,13.34546710636,35.04062913288,50-69,29.3759,47.9774
Kuwait,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",37.036623877850005,22.78202806486,54.49041179009,50-69,29.3759,47.9774
Lebanon,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",21.31171806287,12.98612466694,31.17038986784,50-69,33.8547,35.8623
Lebanon,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",41.37030934932,26.47286616122,58.1403399001,50-69,33.8547,35.8623
Libya,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",18.77142776184,12.14881805366,27.40940615965,50-69,26.3351,17.2283
Libya,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",34.43073950699,20.72813096312,50.44820525272,50-69,26.3351,17.2283
Morocco,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",18.01043457156,11.05781445927,25.84184476192,50-69,31.7917,-7.0926
Morocco,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",34.49643545709,22.26518301644,47.30485008463,50-69,31.7917,-7.0926
Oman,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",21.19045743395,12.25363839103,31.81537289883,50-69,21.4735,55.9754
Oman,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",33.23939109324,19.94710145705,50.2191541734,50-69,21.4735,55.9754
Palestine,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",19.84007897878,12.72518046417,28.94771608877,50-69,31.9474,35.2272
Palestine,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",32.4535277485,19.95353076821,45.79848038548,50-69,31.9474,35.2272
Qatar,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",24.3262057348,14.07854999173,36.49135327706,50-69,25.3548,51.1839
Qatar,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",61.13011525585,39.53612753906,85.36901407222,50-69,25.3548,51.1839
Saudi Arabia,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",12.8209377918,7.31086034148,19.42147903188,50-69,23.8859,45.0792
Saudi Arabia,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",25.75279239626,15.38309242524,38.85180327761,50-69,23.8859,45.0792
Sudan,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",12.03690830611,7.393756411289999,17.654660645579998,50-69,12.8628,30.2176
Sudan,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",21.08886404841,13.75444996655,30.56133633443,50-69,12.8628,30.2176
Syrian Arab Republic,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",15.746430010510002,9.98295603549,23.08622966299,50-69,34.802075,38.996815
Syrian Arab Republic,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",32.50172064897,20.13161485556,47.48226796599,50-69,34.802075,38.996815
Tunisia,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",21.32392749782,13.5714286571,32.08621871913,50-69,33.8869,9.5375
Tunisia,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",39.6370939531,26.19096039742,56.80758435018,50-69,33.8869,9.5375
Türkiye,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",19.99788417877,12.84072876971,28.118924533460003,50-69,38.9637,35.2433
Türkiye,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",32.70019156841,21.99199106713,45.02860413945,50-69,38.9637,35.2433
United Arab Emirates,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",12.66781754247,7.48149248072,19.6785280413,50-69,23.4241,53.8478
United Arab Emirates,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",20.02416269995,13.5164838061,28.95371210416,50-69,23.4241,53.8478
Yemen,2021.0,50-69 years,Male,Multiple sclerosis,"YLDs per 100,000",11.51169656487,7.218248756049999,17.3798088863,50-69,15.552727,48.516388
Yemen,2021.0,50-69 years,Female,Multiple sclerosis,"YLDs per 100,000",20.07449179959,12.75838306741,29.04580610518,50-69,15.552727,48.516388
Afghanistan,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.34344900372,0.1855193800199999,0.5643856535099999,50-69,33.93911,67.709953
Afghanistan,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.29652703639,0.16980191916,0.47359306191,50-69,33.93911,67.709953
Algeria,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.49935718857,0.28752218301,0.7773513250099999,50-69,28.033886,1.659626
Algeria,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.4556871188999999,0.26393692763,0.69685699696,50-69,28.033886,1.659626
Bahrain,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.50482340853,0.2912879809099999,0.77538517007,50-69,26.0667,50.5577
Bahrain,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.46087085259,0.26908824494,0.71364822321,50-69,26.0667,50.5577
Egypt,2021.0,50-69 years,Male,Motor neuron disease,"YLDs per 100,000",0.4030858096399999,0.24337631948,0.60172870633,50-69,26.820553,30.802498
Egypt,2021.0,50-69 years,Female,Motor neuron disease,"YLDs per 100,000",0.38144799655,0.22440093133,0.57113819836,50-69,26.820553,30.802498
