Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,Age Group,Latitude,Longitude
Türkiye,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",483.57727795135,167.61101323348998,931.51251030217,70+,38.9637,35.2433
United Arab Emirates,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",358.27199751665,138.31837150785,727.85674741269,70+,23.4241,53.8478
United Arab Emirates,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",503.7527196729,168.09608253899,1012.26569245012,70+,23.4241,53.8478
Yemen,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",344.77111646973003,126.93762737629,703.90647855936,70+,15.552727,48.516388
Yemen,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",470.26522254146,165.05164507019998,946.27833904424,70+,15.552727,48.516388
Afghanistan,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",35.63843907005,25.33166955964,47.84119604035,70+,33.93911,67.709953
Afghanistan,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",47.73728148786,33.23536322418,65.63192412626,70+,33.93911,67.709953
Algeria,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",37.59512329505,25.76963223791,50.70798342283,70+,28.033886,1.659626
Algeria,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",48.21879413,33.1250329961,65.75675316996,70+,28.033886,1.659626
Bahrain,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",39.33535917549,26.33217373193,54.16534855946,70+,26.0667,50.5577
Bahrain,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",49.0430471152,33.41677029818,66.4553839149,70+,26.0667,50.5577
Egypt,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",38.7589788643,27.37725902224,51.92676822175,70+,26.820553,30.802498
Egypt,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",47.41653568436,32.94122138675,64.46127574283,70+,26.820553,30.802498
Iran (Islamic Republic of),2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",38.98580467986,27.78186183883,52.48164043755,70+,32.4279,53.688
Iran (Islamic Republic of),2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",48.94350246448,34.49038058264,66.51522292467,70+,32.4279,53.688
Iraq,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",36.80198261678,25.63580337974,49.29197616784,70+,33.223191,43.679291
Iraq,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",46.88366452165,32.13706785464,63.18581053812,70+,33.223191,43.679291
Jordan,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",37.52876534346,26.10251729737,50.46033875954,70+,30.5852,36.2384
Jordan,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",48.25853708139,33.52601352123,65.74470218461,70+,30.5852,36.2384
Kuwait,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",38.69904647605,26.47649160662,50.61280217139,70+,29.3759,47.9774
Kuwait,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",51.20641426429,36.03575332346,68.63645102249001,70+,29.3759,47.9774
Lebanon,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",39.13343612911,27.92770427298,52.13578490446999,70+,33.8547,35.8623
Lebanon,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",53.0059418692,36.84011817918,71.9645025868,70+,33.8547,35.8623
Libya,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",37.37984962591,26.46088566235,49.69426581011,70+,26.3351,17.2283
Libya,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",47.87547172038,33.19476435703,65.59516831553,70+,26.3351,17.2283
Morocco,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",37.72151057103,26.41926024015,50.56037536388,70+,31.7917,-7.0926
Morocco,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",47.45493905308,33.03144749197,64.2150618543,70+,31.7917,-7.0926
Oman,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",37.95070131811,26.50734072801,51.52589405632,70+,21.4735,55.9754
Oman,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",47.434839209020005,32.298909433190005,64.41955966018,70+,21.4735,55.9754
Palestine,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",37.63140082096,26.43944572016,51.32494488619,70+,31.9474,35.2272
Palestine,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",48.14105620473,33.8398041725,64.75361058932,70+,31.9474,35.2272
Qatar,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",39.07680753439,27.52465220528,51.93540497553,70+,25.3548,51.1839
Qatar,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",50.53118906728,35.92919487517,68.27132536859,70+,25.3548,51.1839
Saudi Arabia,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",38.09794434086,26.21048767583,52.04112926623,70+,23.8859,45.0792
Saudi Arabia,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",47.43049692551,32.610120983890006,63.24829691136,70+,23.8859,45.0792
Sudan,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",36.42770902604,25.179607418000003,48.98926787773,70+,12.8628,30.2176
Sudan,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",46.5146219724,31.56119448153,63.86304511736,70+,12.8628,30.2176
Syrian Arab Republic,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",37.07586153329,25.57254319228,49.02671673561,70+,34.802075,38.996815
Syrian Arab Republic,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",47.45512943221,31.78589434051,65.35149422462,70+,34.802075,38.996815
Tunisia,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",38.0864043341,27.097939769390003,51.09925604717,70+,33.8869,9.5375
Tunisia,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",49.8960573747,34.32572557478,66.48413980697,70+,33.8869,9.5375
Türkiye,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",41.27849942158,28.29702573722,55.87506515164,70+,38.9637,35.2433
Türkiye,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",53.05641143423,36.04829535542,69.66092672348,70+,38.9637,35.2433
United Arab Emirates,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",36.85078564619,25.28968277998,51.032955924060005,70+,23.4241,53.8478
United Arab Emirates,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",43.49038857417,29.50513253792,60.53473281395,70+,23.4241,53.8478
Yemen,2021.0,70+ years,Male,Other neurological disorders,"YLDs per 100,000",36.94458294564,25.24787937908,50.454920764410005,70+,15.552727,48.516388
Yemen,2021.0,70+ years,Female,Other neurological disorders,"YLDs per 100,000",47.72436063647,32.285550202660005,64.99320390300001,70+,15.552727,48.516388
"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/25/2024).",,,,,,,,,70+,0.0,0.0
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",,,,,,,,,70+,0.0,0.0
